,title,pct_n_affected,total_cost
235,"(0, 0, 0, 0, 2, 2, 2, 0, 1)",19.2787059136,1269688.43333
236,"(0, 0, 0, 0, 2, 2, 2, 0, 2)",19.0798196765,1286990.06667
237,"(0, 0, 0, 0, 2, 2, 2, 1, 0)",17.8599840891,1251084.46667
238,"(0, 0, 0, 0, 2, 2, 2, 1, 1)",17.2500662954,1260274.6
239,"(0, 0, 0, 0, 2, 2, 2, 1, 2)",17.0511800583,1277576.23333
240,"(0, 0, 0, 0, 2, 2, 2, 2, 0)",17.4489525325,1280022.63333
241,"(0, 0, 0, 0, 2, 2, 2, 2, 1)",16.8390347388,1289212.76667
242,"(0, 0, 0, 0, 2, 2, 2, 2, 2)",16.6401485017,1306514.4
243,"(0, 0, 0, 1, 0, 0, 0, 0, 0)",21.4266772739,921835.933333
244,"(0, 0, 0, 1, 0, 0, 0, 0, 1)",20.8167594802,931026.066667
245,"(0, 0, 0, 1, 0, 0, 0, 0, 2)",20.6178732432,948327.7
246,"(0, 0, 0, 1, 0, 0, 0, 1, 0)",19.3980376558,912422.1
247,"(0, 0, 0, 1, 0, 0, 0, 1, 1)",18.7881198621,921612.233333
248,"(0, 0, 0, 1, 0, 0, 0, 1, 2)",18.589233625,938913.866667
249,"(0, 0, 0, 1, 0, 0, 0, 2, 0)",18.9870060992,941360.266667
250,"(0, 0, 0, 1, 0, 0, 0, 2, 1)",18.3770883055,950550.4
251,"(0, 0, 0, 1, 0, 0, 0, 2, 2)",18.1782020684,967852.033333
252,"(0, 0, 0, 1, 0, 0, 1, 0, 0)",19.9681782021,906971.733333
253,"(0, 0, 0, 1, 0, 0, 1, 0, 1)",19.3582604084,916161.866667
254,"(0, 0, 0, 1, 0, 0, 1, 0, 2)",19.1593741713,933463.5
255,"(0, 0, 0, 1, 0, 0, 1, 1, 0)",17.9395385839,897557.9
256,"(0, 0, 0, 1, 0, 0, 1, 1, 1)",17.3296207902,906748.033333
257,"(0, 0, 0, 1, 0, 0, 1, 1, 2)",17.1307345532,924049.666667
258,"(0, 0, 0, 1, 0, 0, 1, 2, 0)",17.5285070273,926496.066667
259,"(0, 0, 0, 1, 0, 0, 1, 2, 1)",16.9185892336,935686.2
260,"(0, 0, 0, 1, 0, 0, 1, 2, 2)",16.7197029966,952987.833333
261,"(0, 0, 0, 1, 0, 0, 2, 0, 0)",18.6953062848,908358.2
262,"(0, 0, 0, 1, 0, 0, 2, 0, 1)",18.0853884911,917548.333333
263,"(0, 0, 0, 1, 0, 0, 2, 0, 2)",17.886502254,934849.966667
264,"(0, 0, 0, 1, 0, 0, 2, 1, 0)",16.6666666667,898944.366667
265,"(0, 0, 0, 1, 0, 0, 2, 1, 1)",16.056748873,908134.5
266,"(0, 0, 0, 1, 0, 0, 2, 1, 2)",15.8578626359,925436.133333
267,"(0, 0, 0, 1, 0, 0, 2, 2, 0)",16.2556351101,927882.533333
268,"(0, 0, 0, 1, 0, 0, 2, 2, 1)",15.6457173164,937072.666667
269,"(0, 0, 0, 1, 0, 0, 2, 2, 2)",15.4468310793,954374.3
270,"(0, 0, 0, 1, 0, 1, 0, 0, 0)",21.4266772739,945611.866667
271,"(0, 0, 0, 1, 0, 1, 0, 0, 1)",20.8167594802,954802.0
272,"(0, 0, 0, 1, 0, 1, 0, 0, 2)",20.6178732432,972103.633333
273,"(0, 0, 0, 1, 0, 1, 0, 1, 0)",19.3980376558,936198.033333
274,"(0, 0, 0, 1, 0, 1, 0, 1, 1)",18.7881198621,945388.166667
275,"(0, 0, 0, 1, 0, 1, 0, 1, 2)",18.589233625,962689.8
276,"(0, 0, 0, 1, 0, 1, 0, 2, 0)",18.9870060992,965136.2
277,"(0, 0, 0, 1, 0, 1, 0, 2, 1)",18.3770883055,974326.333333
278,"(0, 0, 0, 1, 0, 1, 0, 2, 2)",18.1782020684,991627.966667
279,"(0, 0, 0, 1, 0, 1, 1, 0, 0)",19.9681782021,930747.666667
280,"(0, 0, 0, 1, 0, 1, 1, 0, 1)",19.3582604084,939937.8
281,"(0, 0, 0, 1, 0, 1, 1, 0, 2)",19.1593741713,957239.433333
282,"(0, 0, 0, 1, 0, 1, 1, 1, 0)",17.9395385839,921333.833333
283,"(0, 0, 0, 1, 0, 1, 1, 1, 1)",17.3296207902,930523.966667
284,"(0, 0, 0, 1, 0, 1, 1, 1, 2)",17.1307345532,947825.6
285,"(0, 0, 0, 1, 0, 1, 1, 2, 0)",17.5285070273,950272.0
286,"(0, 0, 0, 1, 0, 1, 1, 2, 1)",16.9185892336,959462.133333
287,"(0, 0, 0, 1, 0, 1, 1, 2, 2)",16.7197029966,976763.766667
288,"(0, 0, 0, 1, 0, 1, 2, 0, 0)",18.6953062848,932134.133333
289,"(0, 0, 0, 1, 0, 1, 2, 0, 1)",18.0853884911,941324.266667
290,"(0, 0, 0, 1, 0, 1, 2, 0, 2)",17.886502254,958625.9
291,"(0, 0, 0, 1, 0, 1, 2, 1, 0)",16.6666666667,922720.3
292,"(0, 0, 0, 1, 0, 1, 2, 1, 1)",16.056748873,931910.433333
293,"(0, 0, 0, 1, 0, 1, 2, 1, 2)",15.8578626359,949212.066667
294,"(0, 0, 0, 1, 0, 1, 2, 2, 0)",16.2556351101,951658.466667
295,"(0, 0, 0, 1, 0, 1, 2, 2, 1)",15.6457173164,960848.6
296,"(0, 0, 0, 1, 0, 1, 2, 2, 2)",15.4468310793,978150.233333
297,"(0, 0, 0, 1, 0, 2, 0, 0, 0)",21.4266772739,969387.8
298,"(0, 0, 0, 1, 0, 2, 0, 0, 1)",20.8167594802,978577.933333
299,"(0, 0, 0, 1, 0, 2, 0, 0, 2)",20.6178732432,995879.566667
300,"(0, 0, 0, 1, 0, 2, 0, 1, 0)",19.3980376558,959973.966667
301,"(0, 0, 0, 1, 0, 2, 0, 1, 1)",18.7881198621,969164.1
302,"(0, 0, 0, 1, 0, 2, 0, 1, 2)",18.589233625,986465.733333
303,"(0, 0, 0, 1, 0, 2, 0, 2, 0)",18.9870060992,988912.133333
304,"(0, 0, 0, 1, 0, 2, 0, 2, 1)",18.3770883055,998102.266667
305,"(0, 0, 0, 1, 0, 2, 0, 2, 2)",18.1782020684,1015403.9
306,"(0, 0, 0, 1, 0, 2, 1, 0, 0)",19.9681782021,954523.6
307,"(0, 0, 0, 1, 0, 2, 1, 0, 1)",19.3582604084,963713.733333
308,"(0, 0, 0, 1, 0, 2, 1, 0, 2)",19.1593741713,981015.366667
309,"(0, 0, 0, 1, 0, 2, 1, 1, 0)",17.9395385839,945109.766667
310,"(0, 0, 0, 1, 0, 2, 1, 1, 1)",17.3296207902,954299.9
311,"(0, 0, 0, 1, 0, 2, 1, 1, 2)",17.1307345532,971601.533333
312,"(0, 0, 0, 1, 0, 2, 1, 2, 0)",17.5285070273,974047.933333
313,"(0, 0, 0, 1, 0, 2, 1, 2, 1)",16.9185892336,983238.066667
314,"(0, 0, 0, 1, 0, 2, 1, 2, 2)",16.7197029966,1000539.7
